㓛,1351,1351,12355,名詞,固有名詞,人名,名,*,*,㓛,イサオ,イサオ,0/3,*
䒾,1345,1345,11761,名詞,一般,*,*,*,*,䒾,ミノ,ミノ,1/2,C3
䟽,1345,1345,11344,名詞,一般,*,*,*,*,䟽,ショ,ショ,1/1,C1
不,1340,1340,8226,副詞,*,*,*,*,*,不,エ,エ,1/1,*
不,1345,1345,12280,名詞,一般,*,*,*,*,不,イナ,イナ,1/2,C3
与,1350,1350,12086,名詞,固有名詞,人名,姓,*,*,与,アタエ,アタエ,0/3,*
且,1340,1340,7515,副詞,*,*,*,*,*,且,カク,カク,1/2,*
且,580,580,7167,接続詞,*,*,*,*,*,且,カツ,カツ,1/2,*
丕,1351,1351,12686,名詞,固有名詞,人名,名,*,*,丕,ヒ,ヒ,1/1,*
並,580,580,8129,接続詞,*,*,*,*,*,並,マタ,マタ,0/2,*
並,649,649,9402,動詞,自立,*,*,一段,未然形,並る,ナラベ,ナラベ,0/3,C2
並,652,652,8733,動詞,自立,*,*,一段,連用形,並る,ナラベ,ナラベ,0/3,C2
乖,1343,1343,10848,名詞,サ変接続,*,*,*,*,乖,カイ,カイ,1/2,C4
也,1340,1340,7096,副詞,*,*,*,*,*,也,マタ,マタ,0/2,*
亂,1345,1345,11793,名詞,一般,*,*,*,*,亂,ラン,ラン,1/2,C3
予,1366,1366,11293,名詞,代名詞,一般,*,*,*,予,ヨ,ヨ,1/1,*
亊,1345,1345,10593,名詞,一般,*,*,*,*,亊,コト,コト,2/2,C3
于,1350,1350,12331,名詞,固有名詞,人名,姓,*,*,于,ウ,ウ,1/1,*
互,1345,1345,11634,名詞,一般,*,*,*,*,互,タガイ,タガイ,0/3,C2
亙,1351,1351,12353,名詞,固有名詞,人名,名,*,*,亙,ワタル,ワタル,0/3,*
些,1345,1345,10388,名詞,一般,*,*,*,*,些,サ,サ,1/1,C3
亞,1345,1345,11962,名詞,一般,*,*,*,*,亞,ア,ア,1/1,C3
亢,1345,1345,11682,名詞,一般,*,*,*,*,亢,コウ,コー,1/2,C3
交,1345,1345,12044,名詞,一般,*,*,*,*,交,コウ,コー,1/2,C3
亶,1353,1353,12001,名詞,固有名詞,地域,一般,*,*,亶,タン,タン,1/2,*
亷,1345,1345,11910,名詞,一般,*,*,*,*,亷,カド,カド,1/2,C3
亻,1345,1345,11340,名詞,一般,*,*,*,*,亻,ニンベン,ニンベン,0/4,C2
仄,1345,1345,12303,名詞,一般,*,*,*,*,仄,ソク,ソク,1/2,C3
仍,1340,1340,7056,副詞,*,*,*,*,*,仍,ナオ,ナオ,1/2,*
仍,1366,1366,11500,名詞,代名詞,一般,*,*,*,仍,ソコ,ソコ,0/2,*
仔,1345,1345,11579,名詞,一般,*,*,*,*,仔,コ,コ,0/1,C4
仞,1360,1360,12704,名詞,接尾,助数詞,*,*,*,仞,ジン,ジン,1/2,C3
仭,1360,1360,12704,名詞,接尾,助数詞,*,*,*,仭,ジン,ジン,1/2,C3
仰,1351,1351,12302,名詞,固有名詞,人名,名,*,*,仰,アオグ,アオグ,0/3,*
份,1351,1351,12237,名詞,固有名詞,人名,名,*,*,份,フン,フン,1/2,*
企,1345,1345,11882,名詞,一般,*,*,*,*,企,タクラミ,タクラミ,0/4,C2
伎,1345,1345,11417,名詞,一般,*,*,*,*,伎,キ,キ,1/1,C1
佇,1345,1345,11777,名詞,一般,*,*,*,*,佇,タタズマイ,タタズマイ,0/5,C2
低,1345,1345,13557,名詞,一般,*,*,*,*,低,テイ,テー,1/2,C3
何,1340,1340,7442,副詞,*,*,*,*,*,何,ドウ,ドー,1/2,*
佚,1345,1345,11593,名詞,一般,*,*,*,*,佚,イツ,イツ,1/2,C3
佟,1350,1350,12403,名詞,固有名詞,人名,姓,*,*,佟,トウ,トー,1/2,*
佩,1351,1351,12543,名詞,固有名詞,人名,名,*,*,佩,ハイ,ハイ,1/2,*
併,1345,1345,11451,名詞,一般,*,*,*,*,併,ナラビ,ナラビ,0/3,C2
併,580,580,6859,接続詞,*,*,*,*,*,併,シカシ,シカシ,2/3,*
侑,1351,1351,12564,名詞,固有名詞,人名,名,*,*,侑,ユウ,ユー,1/2,*
侠,1347,1347,11342,名詞,形容動詞語幹,*,*,*,*,侠,キャン,キャン,1/2,C3
侮,1345,1345,11779,名詞,一般,*,*,*,*,侮,アナドリ,アナドリ,0/4,C2
侶,1345,1345,12701,名詞,一般,*,*,*,*,侶,トモ,トモ,1/2,C3
俑,1345,1345,11478,名詞,一般,*,*,*,*,俑,ヨウ,ヨー,1/2,C3
俠,1345,1345,11562,名詞,一般,*,*,*,*,俠,キョウ,キョー,1/2,C3
俱,1345,1345,11826,名詞,一般,*,*,*,*,俱,トモ,トモ,1/2,C3
俶,1351,1351,12881,名詞,固有名詞,人名,名,*,*,俶,ハジメ,ハジメ,0/3,*
俸,1345,1345,10838,名詞,一般,*,*,*,*,俸,ホウ,ホー,1/2,C3
倐,1340,1340,7725,副詞,*,*,*,*,*,倐,タチマチ,タチマチ,0/4,*
倔,1349,1349,11936,名詞,固有名詞,人名,一般,*,*,倔,クツ,クツ,1/2,*
倖,1343,1343,11605,名詞,サ変接続,*,*,*,*,倖,サイワイ,サイワイ,0/4,C2
借,1345,1345,11869,名詞,一般,*,*,*,*,借,カリ,カリ,0/2,C3
倦,649,649,8011,動詞,自立,*,*,一段,未然形,倦る,アキ,アキ,2/2,C1
倦,652,652,7666,動詞,自立,*,*,一段,連用形,倦る,アキ,アキ,2/2,C1
倪,1366,1366,11777,名詞,代名詞,一般,*,*,*,倪,ワレ,ワレ,1/2,*
倶,1345,1345,11826,名詞,一般,*,*,*,*,倶,トモ,トモ,1/2,C3
倹,1351,1351,11986,名詞,固有名詞,人名,名,*,*,倹,ケン,ケン,1/2,*
偃,1351,1351,12567,名詞,固有名詞,人名,名,*,*,偃,エン,エン,1/2,*
偐,1345,1345,11395,名詞,一般,*,*,*,*,偐,ニセ,ニセ,0/2,C3
偕,1351,1351,13707,名詞,固有名詞,人名,名,*,*,偕,トモ,トモ,1/2,*
偖,580,580,6644,接続詞,*,*,*,*,*,偖,サテ,サテ,1/2,*
偶,1340,1340,7741,副詞,*,*,*,*,*,偶,タマ,タマ,0/2,*
