カワイイ,42,42,6967,形容詞,自立,*,*,形容詞・イ段,基本形,かわいい,カワイイ,カワイイ,3/4,*
ツイ,715,715,8097,動詞,自立,*,*,五段・カ行イ音便,連用タ接続,つく,ツイ,ツイ,1/2,*
ヤバ,12,12,6363,形容詞,自立,*,*,形容詞・アウオ段,ガル接続,やばい,ヤバ,ヤバ,2/2,*
ァ,1,1,2516,その他,間投,*,*,*,*,ァ,ァ,ア,1/1,*
アーカイブ,1345,1345,3452,名詞,一般,*,*,*,*,アーカイブ,アーカイブ,アーカイブ,3/5,C1
アーカンソー,1353,1353,4349,名詞,固有名詞,地域,一般,*,*,アーカンソー,アーカンソー,アーカンソー,3/6,C1
アーキテクチャ,1345,1345,3452,名詞,一般,*,*,*,*,アーキテクチャ,アーキテクチャ,アーキテクチャ,4/6,C1
アーギュメント,1345,1345,3452,名詞,一般,*,*,*,*,アーギュメント,アーギュメント,アーギュメント,1/6,C1
アーギュメントリスト,1345,1345,3452,名詞,一般,*,*,*,*,アーギュメントリスト,アーギュメントリスト,アーギュメントリスト,7/9,C1
アーク,1345,1345,3452,名詞,一般,*,*,*,*,アーク,アーク,アーク,1/3,C1
アーク,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アーク,アーク,アーク,1/3,C1
アークランドサカモト,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アークランドサカモト,アークランドサカモト,アークランドサカモト,4/10,C1
アーケード,1345,1345,3448,名詞,一般,*,*,*,*,アーケード,アーケード,アーケード,1/5,C1
アーサー,1350,1350,4385,名詞,固有名詞,人名,姓,*,*,アーサー,アーサー,アーサー,1/4,C2
アーサー,1351,1351,4213,名詞,固有名詞,人名,名,*,*,アーサー,アーサー,アーサー,1/4,C2
アーサーヒューマネット,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アーサーヒューマネット,アーサーヒューマネット,アーサーヒューマネット,8/10,C1
アース,1343,1343,4695,名詞,サ変接続,*,*,*,*,アース,アース,アース,1/3,C1
アース,1352,1352,5223,名詞,固有名詞,組織,*,*,*,アース,アース,アース,1/3,C1
アーチ,1345,1345,3507,名詞,一般,*,*,*,*,アーチ,アーチ,アーチ,1/3,C1
アーチェリー,1345,1345,3435,名詞,一般,*,*,*,*,アーチェリー,アーチェリー,アーチェリー,1/5,C1
アーチスト,1345,1345,3305,名詞,一般,*,*,*,*,アーチスト,アーチスト,アーチスト,1/5,C1
アーティスト,1345,1345,3452,名詞,一般,*,*,*,*,アーティスト,アーティスト,アーティスト,1/5,C1
アーティチョーク,1345,1345,3448,名詞,一般,*,*,*,*,アーティチョーク,アーティチョーク,アーティチョーク,4/6,C1
アート,1345,1345,4020,名詞,一般,*,*,*,*,アート,アート,アート,1/3,C1
アート,1351,1351,5466,名詞,固有名詞,人名,名,*,*,アート,アート,アート,1/3,C1
アート,1352,1352,6276,名詞,固有名詞,組織,*,*,*,アート,アート,アート,1/3,C1
アートコーヒー,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アートコーヒー,アートコーヒー,アートコーヒー,4/7,C1
アートサロン,1348,1348,3621,名詞,固有名詞,一般,*,*,*,アートサロン,アートサロン,アートサロン,4/6,C1
アートスフィア,1348,1348,3659,名詞,固有名詞,一般,*,*,*,アートスフィア,アートスフィア,アートスフィア,4/6,C1
アートネイチャー,1352,1352,4726,名詞,固有名詞,組織,*,*,*,アートネイチャー,アートネイチャー,アートネイチャー,4/7,C1
アートプリントジャパン,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アートプリントジャパン,アートプリントジャパン,アートプリントジャパン,4/10,C1
アートライン,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アートライン,アートライン,アートライン,4/6,C1
アーニー,1351,1351,4298,名詞,固有名詞,人名,名,*,*,アーニー,アーニー,アーニー,1/4,C2
アーネスト,1351,1351,4304,名詞,固有名詞,人名,名,*,*,アーネスト,アーネスト,アーネスト,1/5,C1
アーバンウエスト,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アーバンウエスト,アーバンウエスト,アーバンウエスト,5/8,C1
アーバンコーポレイション,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アーバンコーポレイション,アーバンコーポレイション,アーバンコーポレイション,8/11,C1
アーバンハウジング,1352,1352,4831,名詞,固有名詞,組織,*,*,*,アーバンハウジング,アーバンハウジング,アーバンハウジング,5/9,C1
アーバンライフ,1352,1352,4841,名詞,固有名詞,組織,*,*,*,アーバンライフ,アーバンライフ,アーバンライフ,5/7,C1
アービタ,1345,1345,3452,名詞,一般,*,*,*,*,アービタ,アービタ,アービタ,1/4,C1
アービトレーション,1343,1343,4317,名詞,サ変接続,*,*,*,*,アービトレーション,アービトレーション,アービトレーション,5/8,C1
アーヘン,1353,1353,4350,名詞,固有名詞,地域,一般,*,*,アーヘン,アーヘン,アーヘン,1/4,C2
アーベント,1345,1345,3452,名詞,一般,*,*,*,*,アーベント,アーベント,アーベント,1/5,C1
